"filename", "language", "JSON with Comments", "TypeScript JSX", "JSON", "TypeScript", "Ignore", "Markdown", "CSS", "XML", "HTML", "YAML", "comment", "blank", "total"
"d:\Projects\cookbook\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 1, 18
"d:\Projects\cookbook\.github\workflows\dependabot-reviewer.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"d:\Projects\cookbook\README.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 15, 54
"d:\Projects\cookbook\client\.prettierignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"d:\Projects\cookbook\client\.prettierrc", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Projects\cookbook\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\Projects\cookbook\client\package-lock.json", "JSON", 0, 0, 2637, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2638
"d:\Projects\cookbook\client\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Projects\cookbook\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\cookbook\client\src\App.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Projects\cookbook\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\cookbook\client\src\components\AuthForms\AuthForms.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"d:\Projects\cookbook\client\src\components\AuthForms\LoginForm\LoginForm.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"d:\Projects\cookbook\client\src\components\AuthForms\LoginForm\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\AuthForms\MobileAuth\MobileAuth.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
